District,Population,Co-Ordinate
Ahmadabad,"84,03,129","(23.0225, 72.571389)"
Amreli,"17,63,729","(20.866667, 70.75)"
Anand,"24,37,629","(22.566667, 72.966667)"
Aravalli,"10,39,918","(24, 73)"
Banaskantha,"36,34,765","(24.173056, 72.431389)"
Bharuch,"18,06,627","(20.7, 72.983333)"
Bhavnagar,"33,55,049","(21.770278, 72.143056)"
Botad,"6,56,005","(22.17, 71.67)"
Chhota Udaipur,"10,71,831","(22.32, 74.01)"
Devbhumi Dwarka,"7,52,484","(22.2, 69.65)"
Dohad,"24,77,630","(22.833889, 74.257778)"
Gandhinagar,"16,21,114","(23.214839, 72.649839)"
Gir Somnath,"12,17,477","(20.896961, 70.608655)"
Jamnagar,"25,16,107","(22.25, 70)"
Junagadh,"31,95,142","(21.516667, 70.45)"
Kachchh,"24,37,194","(23.915, 70.366944)"
Kheda,"26,78,906","(22.75, 72.683333)"
Mahesana,"23,70,443","(23.666667, 72.5)"
Mahisagar,"9,94,624","(23.15, 73.65)"
Morbi,"9,60,329","(22.824488, 70.936662)"
Narmada,"6,87,578","(21.87, 73.5)"
Navsari,"15,48,802","(20.95, 72.92)"
PanchMahal,"27,84,776","(22.75, 73.6)"
Patan,"15,65,181","(23.83, 72.12)"
Porbandar,"6,81,931","(21.63, 69.6)"
Rajkot,"44,31,549","(22.3, 70.78)"
Sabarkantha,"28,28,820","(23.6, 72.95)"
Surat,"70,83,524","(20.916667, 73.05)"
Surendranagar,"20,45,701","(22.73, 71.51)"
Tapi,"9,40,019","(21.12, 73.4)"
The Dangs,"2,65,913","(20.758806, 73.688611)"
Vadodara,"48,52,121","(22.18, 73.12)"
Valsad,"19,86,774","(20.61, 72.925833)"
